	id	source	target	file_name
13	14	!32 countries with new cases and deaths, should be telling the authorities, that testing has to be done to all people in all countries that are still getting new cases.	Los 32 países con nuevos casos y muertes, deberían decir a las autoridades, que hay que hacer pruebas a todas las personas en todos los países que siguen teniendo nuevos casos.	q_en_en-es_d
14	15	!f you get sick less than once a year.	Si se enferma menos de una vez al año.	q_en_en-es_d
15	16	«1941 - lessons and conclusions».	"'1941 - lecciones y conclusiones""."	q_en_en-es_d
16	17	«1941: Battles on the Baltic 22 June - 10 July 1941″.	'1941: Batallas en el Báltico 22 de junio - 10 de julio de 1941″.	q_en_en-es_d
17	18	«50 years of the armed forces of the USSR».	"'50 años de las fuerzas armadas de la URSS""."	q_en_en-es_d
18	19	«Captured & converted French vehicles in German service.	'Vehículos franceses capturados y convertidos al servicio de Alemania.	q_en_en-es_d
19	20	«Combat and numerical composition of the armed forces of the USSR during the Great Patriotic war (1941–1954)”.	"'Combate y composición numérica de las fuerzas armadas de la URSS durante la Gran Guerra Patria (1941-1954)""."	q_en_en-es_d
20	21	«History of the Great Patriotic war of the Soviet Union 1941–1945, six volumes”, volume 1 - М.: Институт марксизма-ленинизма, 1960	"'Historia de la Gran Guerra Patria de la Unión Soviética 1941-1945, seis volúmenes"", volumen 1 - М.: Институт марксизма-ленинизма, 1960."	q_en_en-es_d
21	22	«Soviet artillery between the civil and the Great Patriotic wars (1921 - June 1941).	'La artillería soviética entre las guerras civiles y la Gran Patriótica (1921 - junio de 1941).	q_en_en-es_d
22	23	«Soviet military encyclopaedia” volume 2 - М.: Воениздат, 1976	"'Enciclopedia militar soviética"" volumen 2 - М.: Воениздат, 1976"	q_en_en-es_d
23	24	«Tank battle of Dubno».	"'Batalla de tanques de Dubno""."	q_en_en-es_d
24	25	«The Great Patriotic».	"'La Gran Patriótica""."	q_en_en-es_d
25	26	«The beginning of the Great Patriotic War (22 June - middle of July 1941) - М.: Воениздат, 1962.	'El comienzo de la Gran Guerra Patriótica (22 de junio - mediados de julio de 1941) - М.: Воениздат, 1962.	q_en_en-es_d
26	27	«The experience of utilization of mechanised corps of the Soviet army in the beginning of the Great Patriotic war” - М.: ВАБТВ им.Сталина, 1960	"'La experiencia de utilización de los cuerpos mecanizados del ejército soviético en el inicio de la Gran Guerra Patria"" - М.: ВАБТВ им.Сталина, 1960"	q_en_en-es_d
27	28	«The history of national artillery.	'La historia de la artillería nacional.	q_en_en-es_d
28	29	# 2 The HEALTH INDUSTRY, yes they agree .	# 2 La INDUSTRIA DE LA SALUD, sí están de acuerdo .	q_en_en-es_d
29	30	# As the household services like maids have stopped coming try to do all your work by yourselves and you can hence learn various things.	# Como los servicios domésticos como las mucamas han dejado de venir traten de hacer todo el trabajo por ustedes mismos y así podrán aprender varias cosas.	q_en_en-es_d
30	31	# Breaking news update: August 7, 2020.	# Actualización de noticias de última hora: 7 de agosto de 2020.	q_en_en-es_d
31	32	# By engaging a sourcing company	# Contratando a una empresa de contratación	q_en_en-es_d
32	33	# Courtesy – From CNN’s Tim Lister, Hira Humayun and AnneClaire Stapleton	# Cortesía - De Tim Lister, Hira Humayun y AnneClaire Stapleton de CNN	q_en_en-es_d
33	34	# Explain why you contact them	# Explica por qué te pones en contacto con ellos	q_en_en-es_d
34	35	# First Benefit: This will help prevent it from spreading.	# Primer beneficio: Esto ayudará a evitar que se extienda.	q_en_en-es_d
35	36	# Give your buying plan	# Da tu plan de compra	q_en_en-es_d
36	37	# Identify yourself clearly	# Identifíquese claramente	q_en_en-es_d
37	38	# Indicate your market	# Indique su mercado	q_en_en-es_d
38	39	#1 -- Why was there no variants of the COVID-19 virus for nearly a year and now we have many? What caused this?	#1 -- ¿Por qué no hubo variantes del virus COVID-19 durante casi un año y ahora tenemos muchas? ¿Qué ha provocado esto?	q_en_en-es_d
39	40	#1 -- Your premise is incorrect.	#1 -- Su premisa es incorrecta.	q_en_en-es_d
40	41	#1 Make it become a habit.	#1 Que se convierta en un hábito.	q_en_en-es_d
41	42	#1 Remdesivir: By now it is one of the most famous medicines in the world for treatment of Coronavirus.	#1 Remdesivir: A estas alturas es uno de los medicamentos más famosos del mundo para el tratamiento del Coronavirus.	q_en_en-es_d
42	43	#1 THE FOOD INDUSTRY, #2 The HEALTH INDUSTRY, # 3 The SICKNESS INDUSTRY.THE FOOD INDUSTRY this does not need an explanation.	#1 LA INDUSTRIA DE LA ALIMENTACIÓN, #2 LA INDUSTRIA DE LA SALUD, # 3 LA INDUSTRIA DE LA ENFERMEDAD.LA INDUSTRIA DE LA ALIMENTACIÓN esto no necesita una explicación.	q_en_en-es_d
43	44	#1 The number of currently infected people.	#1 El número de personas actualmente infectadas.	q_en_en-es_d
44	45	#1 biggest reason people lose their room?	#1 La mayor razón por la que la gente pierde su habitación?	q_en_en-es_d
45	46	#1 only tells you if the virus is present in the body	#1 sólo te dice si el virus está presente en el cuerpo	q_en_en-es_d
46	47	#1) You rented room 123 for the month of December.	#1) Usted alquiló la habitación 123 para el mes de diciembre.	q_en_en-es_d
47	48	#1, Off boresight targeting.	#1, Fuera de los objetivos de la vista.	q_en_en-es_d
48	49	#10 It’s also a lot about how to think about it: you should take a cold shower thinking of it as a positive event and something that will make you become a better and healthier version of yourself.	#10 También se trata de cómo pensar en ello: debes tomar una ducha fría pensando en ello como un evento positivo y algo que te hará convertirte en una versión mejor y más saludable de ti mismo.	q_en_en-es_d
49	50	#11 The first one is the hardest one.	#11 La primera es la más difícil.	q_en_en-es_d
50	51	#12 Be proud of you each time you make it.	#12 Siéntete orgulloso de ti cada vez que lo hagas.	q_en_en-es_d
51	52	#13 Right before going in: remind you how tough you are.	#13 Justo antes de entrar: recuérdate lo duro que eres.	q_en_en-es_d
52	53	#14 Have fun doing it! I’m not kidding, have fun with yourself.	#14 ¡Diviértete haciéndolo! No estoy bromeando, diviértete contigo mismo.	q_en_en-es_d
53	54	#1st case in India- Jan.	# 1er caso en India- Ene.	q_en_en-es_d
54	55	#1st case in china- Nov17th, 2019 (unidentified sources), Dec 31st, 2019 (Source- Govt records China)	#1 caso en china- 17 de noviembre de 2019 (fuentes no identificadas), 31 de diciembre de 2019 (Fuente- Govt records China)	q_en_en-es_d
55	56	#2 - Moving or Note Moving - But Not Both	#2 - Moverse o notar moverse - Pero no ambas cosas	q_en_en-es_d
56	57	#2 - Worry less about things that don’t matter.	#2 - Preocúpate menos por cosas que no importan.	q_en_en-es_d
57	58	#2 -- A few additional variants are quite possible (currently there are only five recognized variants circulating globally) but recall that every time a virus replicates, a favorable mutation may occur, but most aren't favorable unless it aids in transmission or lethality.	#2 -- Es muy posible que haya algunas variantes adicionales (actualmente sólo hay cinco variantes reconocidas que circulan a nivel mundial), pero hay que recordar que cada vez que un virus se replica, puede producirse una mutación favorable, pero la mayoría no son favorables a menos que ayuden a la transmisión o a la letalidad.	q_en_en-es_d
58	59	#2 -- Could we end up with many more variants if it is not controlled worldwide soon?	#2 -- ¿Podríamos acabar con muchas más variantes si no se controla pronto a nivel mundial?	q_en_en-es_d
59	60	#2 Human plasma containing antibodies from recovered patients.	#2 Plasma humano que contiene anticuerpos de pacientes recuperados.	q_en_en-es_d
60	61	#2 The number hospitalized.	#2 El número de hospitalizados.	q_en_en-es_d
61	62	#2 Understand why.	#2 Entender por qué.	q_en_en-es_d
62	63	#2 We don’t have enough of the mRNA vax.	#2 No tenemos suficiente vax de ARNm.	q_en_en-es_d
63	64	#2 tells you if you’ve been exposed to the virus and your immune system has mounted a response to the virus	#2 Te dice si has estado expuesto al virus y tu sistema inmunológico ha montado una respuesta al virus	q_en_en-es_d
64	65	#2) You rented room 123 for the month of December with your friend Mark.	#2) Alquilaste la habitación 123 para el mes de diciembre con tu amigo Mark.	q_en_en-es_d
65	66	#2, Keeping your speed up in a turn.	#2, Mantener tu velocidad en un giro.	q_en_en-es_d
66	67	#3 - Be grateful for what you have.	#3 - Agradece lo que tienes.	q_en_en-es_d
67	68	#3 Dexamethasone – a surprise for all of us !!	#3 Dexametasona - ¡una sorpresa para todos nosotros!	q_en_en-es_d
68	69	#3 Number of deaths.	#3 Número de muertes.	q_en_en-es_d
69	70	#3 Take your time.	#3 Tómate tu tiempo.	q_en_en-es_d
70	71	#3 was and is complicated by the incubation time which could range from a few days to longer than a week before the infected person shows symptoms.	#3 era y es complicado por el tiempo de incubación que puede ir desde unos días hasta más de una semana antes de que la persona infectada muestre síntomas.	q_en_en-es_d
71	72	#4 - Achieve personal success in what matters.	#4 - Lograr el éxito personal en lo que importa.	q_en_en-es_d
72	73	#4 Allow you to fail, be nice with yourself.	#4 Permítase fracasar, sea amable consigo mismo.	q_en_en-es_d
73	74	#4: Do not step outside without wearing a mask	#4: No salgas a la calle sin llevar una máscara	q_en_en-es_d
74	75	#5 - Say ‘Yes’ to what scares you and ‘No’ to what bores you.	"#5 - Di ""Sí"" a lo que te asusta y ""No"" a lo que te aburre."	q_en_en-es_d
75	76	#5 Start slow.	#5 Empieza despacio.	q_en_en-es_d
76	77	#6 Think of it as a challenge or an experiment.	#6 Piensa en ello como un reto o un experimento.	q_en_en-es_d
77	78	#7 You can start warm and finish cold.	#7 Puedes empezar caliente y terminar frío.	q_en_en-es_d
78	79	#8 Sometimes, reward you with a warm shower: Every Saturday&Sunday morning, I do :)	#8 A veces, recompénsate con una ducha caliente: todos los sábados y domingos por la mañana, lo hago :)	q_en_en-es_d
79	80	#9 Don’t be too serious about it, it’s not a big deal.	#9 No te pongas demasiado serio, no es para tanto.	q_en_en-es_d
80	81	#BE AWARE ,STAY SAFE	#SEAN CONSCIENTES, MANTÉNGANSE A SALVO	q_en_en-es_d
81	82	#COVID19 infections are extremely serious and can lead to death - regardless how young or old you are, how many pre-existing medical conditions you have (or non at all).	Las infecciones por #COVID19 son extremadamente graves y pueden llevar a la muerte - independientemente de lo joven o viejo que seas, de las condiciones médicas prex2 existentes que tengas (o de que no tengas ninguna).	q_en_en-es_d
82	83	#Corona case on June 12th, 2020- 309,000	Caso de #Corona el 12 de junio de 2020- 309.000	q_en_en-es_d
83	84	#Corona cases in India on Mar 24th, 2020 - 564 (MoF&HW)	#Casos de Corona en la India el 24 de marzo de 2020 - 564 (MoF&amp;HW)	q_en_en-es_d
84	85	#Coronavirus flattening by taking the actions ;	Aplanamiento del #Coronavirus tomando las acciones ;	q_en_en-es_d
85	86	#Coronavirus flattening without taking actions	#Coronavirus aplanando sin tomar las acciones	q_en_en-es_d
86	87	#Covid19 #vaccine #Novavax #trials #Maqow #getanswersnow	#Covid19 #vacuna #Novavax #pruebas #Maqow #getanswersnow	q_en_en-es_d
87	88	#Declaration of Pandemic by WHO- Mar 11th, 2020	#Declaración de pandemia por la OMS- 11 de marzo de 2020	q_en_en-es_d
88	89	#Demand long-term, double blind saline placebo safety studies!	¡#Exigir estudios de seguridad con placebo salino a largo- plazo!	q_en_en-es_d
89	90	#Demand vaccine manufacturer liability again!	¡#Exigir de nuevo la responsabilidad de los fabricantes de vacunas!	q_en_en-es_d
90	91	#Eat more fruits and vegetable-	#Come más frutas y verduras-	q_en_en-es_d
91	92	#Get proper daily sleep-	#Duerme bien todos los días-	q_en_en-es_d
92	93	#Help the country in this tough time by being a warrior.	#Ayuda al país en estos tiempos difíciles siendo un guerrero.	q_en_en-es_d
93	94	#IMAGE TAKEN FROM GOOGLE IMAGE.	#IMAGEN TOMADA DE GOOGLE IMAGE.	q_en_en-es_d
94	95	#Image source: Google image	#Fuente de la imagen: Google image	q_en_en-es_d
95	96	#India fights corona #corona #defeatcorona.	#India lucha contra corona #corona #derrotacorona.	q_en_en-es_d
96	97	#Job Losses in India - 10 to 12 crore jobs (unidentified sources)	#Pérdida de empleos en India - 10 a 12 crore de empleos (fuentes no identificadas)	q_en_en-es_d
97	98	#LearnMMT! Modern Money Theory (MMT) economists have proved that the United States has a fiat (“by decree”) currency, so taxes don’t fund spending programs at the Federal level.	"¡#AprendeMMT! Los economistas de la Teoría Moderna del Dinero (MMT) han demostrado que Estados Unidos tiene una moneda fiat (""por decreto""), por lo que los impuestos no financian los programas de gasto a nivel federal."	q_en_en-es_d
98	99	#Lockdown imposition in Wuhan by govt of China- Jan 23rd, 2020 (Corona cases - 800 approx)	#Imposición de bloqueo en Wuhan por el gobierno de China- 23 de enero de 2020 (casos de Corona - 800 aprox)	q_en_en-es_d
99	100	#Lockdown in India- Mar 25th, 2020	#Corona en la India- 25 de marzo de 2020	q_en_en-es_d
